OTU_00001;size=197946	KU892652|Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Solieriaceae;Kappaphycus;Kappaphycus_alvarezii	100.0	859	0	0	1	859	1	1225	-1	0
OTU_00005;size=3921	MN184606|Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva_intestinalis	100.0	849	0	0	1	849	1	849	-1	0
OTU_00004;size=9434	KC411861|Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva_compressa	100.0	850	0	0	1	850	1	883	-1	0
OTU_00009;size=921	KU892652|Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Solieriaceae;Kappaphycus;Kappaphycus_alvarezii	96.3	860	16	4	1	845	1	1225	-1	0
OTU_00010;size=431	KU892652|Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Solieriaceae;Kappaphycus;Kappaphycus_alvarezii	96.9	866	12	5	1	853	1	1225	-1	0
OTU_00012;size=389	FP476056|Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zobellia;Zobellia_galactanivorans	86.0	816	114	0	1	816	1	1188	-1	0
OTU_00014;size=337	FP476056|Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zobellia;Zobellia_galactanivorans	83.9	806	130	0	1	806	1	1188	-1	0
OTU_00022;size=160	MW921442|Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia_arcta	95.8	827	35	0	1	859	1	839	-1	0
OTU_00020;size=183	SpolyschidesMcontig9692766826440|Eukaryota;Eukaryota_X;Phaeophyceae;Tilopteridales;Phyllariaceae;Saccorhiza;Saccorhiza_polyschides	95.5	859	39	0	1	859	1	1229	-1	0
OTU_00019;size=213	MF101428|Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia_stricta	99.1	858	8	0	1	858	1	1223	-1	0
OTU_00023;size=153	CP123991|Bacteria;Cyanobacteriota;Cyanobacteriota_X;Cyanobacteriota_XX;Cyanobacteriota_XXX;Cyanobacteriota_XXXX;cyanobacterium_endosymbiont_of_Epithemia_clementina_EcSB	82.4	857	151	0	1	857	1	1230	-1	0
OTU_00025;size=149	KX595275|Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva_compressa	96.9	849	26	0	1	849	1	1222	-1	0
OTU_00024;size=149	AY845408|Bacteria;Chlamydiota;Chlamydiia;Parachlamydiales;Simkaniaceae;Simkania;Simkania_negevensis	80.3	497	98	0	1	783	1	497	-1	0
OTU_00029;size=111	SpolyschidesMcontig9692766826440|Eukaryota;Eukaryota_X;Phaeophyceae;Tilopteridales;Phyllariaceae;Saccorhiza;Saccorhiza_polyschides	94.9	861	42	2	1	861	1	1229	-1	0
OTU_00030;size=108	KU892652|Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Solieriaceae;Kappaphycus;Kappaphycus_alvarezii	96.7	860	13	6	1	846	1	1225	-1	0
OTU_00032;size=102	CP020038|Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Agarilytica;Agarilytica_rhodophyticola	81.8	853	155	0	1	853	1	868	-1	0
OTU_00034;size=95	CP011477|Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;Spongiibacter;Spongiibacter_sp_IMCC21906	80.9	853	163	0	1	853	1	1224	-1	0
OTU_00042;size=82	FP476056|Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zobellia;Zobellia_galactanivorans	85.9	787	111	0	1	787	1	1188	-1	0
OTU_00043;size=80	KU362206|Bacteria;Cyanobacteriota;Cyanobacteriota_X;Cyanobacteriota_XX;Cyanobacteriota_XXX;Cyanobacteriota_XXXX;uncultured_cyanobacterium	83.0	407	69	0	1	858	1	407	-1	0
OTU_00047;size=62	MK995252|Bacteria;Cyanobacteriota;Cyanophyceae;Nostocales;Nostocaceae;Aliinostoc;Aliinostoc_sp._SA35	81.0	751	143	0	1	859	1	754	-1	0
OTU_00046;size=72	CP020038|Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Agarilytica;Agarilytica_rhodophyticola	97.8	853	19	0	1	853	1	868	-1	0
OTU_00053;size=54	AF038004|Eukaryota;Eukaryota_X;Xanthophyceae;Tribonematales;Tribonemataceae;Tribonema;Tribonema_marinum	91.6	859	72	0	1	859	1	1104	-1	0
OTU_00056;size=51	CP011098|Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;Mannheimia_haemolytica	83.9	814	131	0	1	814	1	1185	-1	0
OTU_00058;size=48	MH356727|Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Seminavis;Seminavis_robusta	92.3	859	66	0	1	859	1	1228	-1	0
OTU_00060;size=45	CP123991|Bacteria;Cyanobacteriota;Cyanobacteriota_X;Cyanobacteriota_XX;Cyanobacteriota_XXX;Cyanobacteriota_XXXX;cyanobacterium_endosymbiont_of_Epithemia_clementina_EcSB	91.4	856	74	0	1	856	1	1230	-1	0
OTU_00061;size=44	PBU09444|Plectonema	84.2	657	104	0	1	846	1	706	-1	0
OTU_00063;size=43	CP020038|Bacteria;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;Agarilytica;Agarilytica_rhodophyticola	81.9	852	154	0	1	852	1	868	-1	0
OTU_00070;size=37	BX294146|Bacteria;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula;Rhodopirellula_baltica	82.3	541	93	1	1	816	1	541	-1	0
