OTU_00001	KU892652|Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;Solieriaceae;Kappaphycus;Kappaphycus_alvarezii	100.0	859	0	0	1	859	1	1225	-1	0
OTU_00005	MN184606|Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva_intestinalis	100.0	849	0	0	1	849	1	849	-1	0
OTU_00002	KC411861|Eukaryota;Chlorophyta;Ulvophyceae;Ulvales;Ulvaceae;Ulva;Ulva_compressa	100.0	850	0	0	1	850	1	883	-1	0
OTU_00007	FP476056|Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Zobellia;Zobellia_galactanivorans	83.7	818	133	0	1	818	1	1188	-1	0
OTU_00011	CP123991|Bacteria;Cyanobacteriota;Cyanobacteriota_X;Cyanobacteriota_XX;Cyanobacteriota_XXX;Cyanobacteriota_XXXX;cyanobacterium_endosymbiont_of_Epithemia_clementina_EcSB	82.4	857	151	0	1	857	1	1230	-1	0
OTU_00013	MW921442|Eukaryota;Chlorophyta;Ulvophyceae;Ulotrichales;Ulotrichaceae;Acrosiphonia;Acrosiphonia_arcta	95.8	827	35	0	1	859	1	839	-1	0
OTU_00014	SpolyschidesMcontig9692766826440|Eukaryota;Eukaryota_X;Phaeophyceae;Tilopteridales;Phyllariaceae;Saccorhiza;Saccorhiza_polyschides	95.3	859	40	0	1	859	1	1229	-1	0
OTU_00015	MF101428|Eukaryota;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Polysiphonia;Polysiphonia_stricta	99.1	858	8	0	1	858	1	1223	-1	0
OTU_00027	KU362206|Bacteria;Cyanobacteriota;Cyanobacteriota_X;Cyanobacteriota_XX;Cyanobacteriota_XXX;Cyanobacteriota_XXXX;uncultured_cyanobacterium	83.0	407	69	0	1	860	1	407	-1	0
OTU_00030	MH356727|Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Seminavis;Seminavis_robusta	92.3	859	66	0	1	859	1	1228	-1	0
